미디어타입,제목,장소명,장소타입,장소설명,주소,위도,경도,주소_지역명
movie,아가씨,수성당,playground,아가씨 1부 초반부 바닷가 옆 절벽장면 찍은 곳,전라북도 부안군 변산면 적벽강길 54,35.634848,126.460382,전라
movie,아가씨,괴산호,playground,영화 아가씨에서 보트타고 호수를 건너는 곳,충청북도 괴산군 청천면,36.753677,127.835418,충청
movie,아이캔스피크,수지구청,playground,극 중 이제훈이 도깨비 할매 나문희와 만나는 곳,경기도 용인시 수지구 포은대로 435,37.322158,127.097437,경기
movie,아이캔스피크,경성구포국수,restaurant,영화 아이캔스피크 촬영지인 연산시장 국수집,부산광역시 연제구 월드컵대로3번길 40,35.176405,129.085178,부산
movie,아저씨,다일락 골프연습장,playground,원빈이 김희원의 협박으로 마약을 전달하는 곳,경기도 용인시 처인구 모현읍 포은대로1272번길 12,37.339208,127.184415,경기
movie,아저씨,용상부두,playground,김희원이 원빈에게 전화를 받은 부두,부산광역시 남구 신선로 294,35.109458,129.097837,부산
movie,아저씨,초량 이바구길,playground,원빈이 전당포로 출퇴근 했던 골목,부산광역시 동구 초량동 865-48,35.116798,129.03657,부산
movie,아저씨,초량시장,playground,원빈이 남자아이를 추격하는 골목,부산광역시 동구 초량로13번길 8,35.118186,129.039913,부산
movie,아저씨,문래 창작촌,playground,원빈이 김새론에게 나오라고 부른 장소,서울특별시 영등포구 도림로128가길 13-8,37.514143,126.897413,서울
movie,암살,황매산 군립 공원,playground,억새가 아름다운 암살 촬영지,경상남도 합천군 가회면 둔내리 산 219,35.495254,127.97467,경상
movie,암살,합천 영상 테마파크,playground,암살의 다양한 장면을 촬영한 영상 테마파크,경상남도 합천군 용주면 합천호수로 757,35.5489346,128.072475,경상
movie,암살,오웬 기념각,playground,암살을 촬영한 광주의 이국적 기념관,광주광역시 남구 백서로70번길 6,35.138288,126.915896,광주
movie,암살,한남 북엇국,restaurant,암살 감독이 단골인 맛집,서울특별시 용산구 독서당로 65-7,37.53389,127.008054,서울
movie,암살,낙산공원,playground,암살을 촬영한 서울의 대표 야경지,서울특별시 종로구 낙산길 41,37.580667,127.00746,서울
movie,암살,백인제 가옥,playground,영화 암살속 강인국과 미츠코의 집,서울특별시 종로구 북촌로7길 16,37.580639,126.98407,서울
movie,암살,운현궁 양관,playground,암살부터 도깨비를 촬영한 고궁,서울특별시 종로구 삼일대로 460 ,37.576111,126.987749,서울
movie,암살,문화역서울284,playground,기차역에서 서울의 대표 전시공간으로 거듭난 곳,서울특별시 중구 통일로 1,37.555944,126.971594,서울
movie,여행자,김포국제공항,playground,진희(김새론)는 이곳 에서 미국인 양부모를 만나기 위해 공항을 떠난다.,서울특별시 강서구 하늘길 112,37.558655,126.79228,서울
movie,연애의 온도,구둔역 폐역,station,이동희(이민기)와 장영(김민희)이 이곳에서 화장을 한다.,경기도 양평군 지평면 구둔역길 3,37.437333,127.688739,경기
movie,올드보이,합천댐 (물 문화관),playground,유지태의 누나가 자살하는 장면이 촬영된 곳,경상남도 합천군 대병면 합천호수로 197,35.531559,128.029495,경상
movie,올드보이,향파문학거리,playground,최민식과 유지태가 만나는 장소,부산광역시 남구 용소로21번길 15,35.1356125,129.101766,부산
movie,올드보이,장성향,restaurant,실제로 나온 군만두로 유명한 중국집,부산광역시 동구 대영로243번길 29,35.1135574,129.0377195,부산
movie,올드보이,장춘방,restaurant,최민식이 만두 먹는 장면을 찍은 중국집,부산광역시 동구 대영로243번길 30,35.113443,129.037971,부산
movie,올드보이,온천천 산책로,playground,최민식이 동네 양아치들한테 상상훈련 테스트 한 곳,부산광역시 연제구 온천천남로 39,35.192545,129.095072,부산
movie,올드보이,익산 교도소 세트장,playground,국내 유일한 익산에 있는 교도소 세트장,전라북도 익산시 성당면 함낭로 207,36.069334,126.93158,전라
movie,완득이,영월 시외버스터미널,playground,완득이가 엄마와 함께 있던 터미널,강원도 영월군 영월읍 중앙1로 23,37.183565,128.465583,강원
movie,완득이,영월 주천시장,playground,완득이에서 완득이가 아빠를 찾아가는 장면,강원도 영월군 주천면 주천시장길 23,37.271036,128.266592,강원
movie,완득이,감미옥,restaurant,완득이에서 나왔던 설렁탕 집,경기도 성남시 분당구 탄천로 181,37.408949,127.122798,경기
movie,완득이,신흥2동 주택가 골목,playground,완득이 촬영지이자 완득이의 집이었던 곳,경기도 성남시 수정구 신흥2동 1237,37.44749,127.148163,경기
movie,완득이,동묘 벼룩시장,playground,완득이가 폭력배와 충돌이 있었던 장소,서울특별시 종로구 숭인동 102-8,37.5732058,127.017615,서울
movie,용서는 없다,김포국제공항,playground,강민호(솔경구)는 이곳에서 외국으로 딸을 데리러 간다.,서울특별시 강서구 하늘길 112,37.558655,126.79228,서울
movie,은밀하게 위대하게,한양대학교 에리카캠퍼스,playground,김수현이 간첩 미션을 받은 장소,경기도 안산시 상록구 한양대학로 55 ,37.297706,126.833783,경기
movie,은밀하게 위대하게,우각로문화마을,playground,김수현이 바보 연기를 펼치던 골목이 있는 마을,인천광역시 미추홀구 우각로122번길 19,37.468936,126.64468,인천
movie,은밀하게 위대하게,전주 영화 종합 촬영소,playground,김수현이 출연한 은밀하게 위대하게를 찍은 곳,전라북도 전주시 완산구 원상림길 125-14,35.814404,127.075889,전라
movie,종려나무 숲,공곶이,playground,영화 '종려나무 숲' 촬영지로 알려진 수선화 스팟,경상남도 거제시 일운면 와현리 87,34.7945018,128.7139354,경상
movie,친절한 금자씨,대관령 삼양목장,playground,영화 속에서 나온 푸른 초원,강원도 평창군 대관령면 꽃밭양지길 708-9,37.723053,128.719629,강원
movie,친절한 금자씨,헤이리 식물감각,restaurant,박찬욱감독 및 영화인들의 단골 레스토랑,경기도 파주시 탄현면 헤이리마을길 48-8,37.787514,126.698718,경기
movie,친절한 금자씨,공룡알 화석산지,playground,친절한 금자씨에서 나온 가족나들이 하기 좋은 유적지,경기도 화성시 송산면 공룡로 659,37.2586815,126.7575692,경기
movie,친절한 금자씨,코엑스 아쿠아리움,playground,영화 속에서 금자씨가 고등학교시절 갔던 아쿠아리움,서울특별시 강남구 영동대로 513,37.510177,127.05866,서울
