LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,위도,경도
라마다 바이 윈덤 대전,대전,대전광역시 유성구 계룡로 127,200개 이상,성급없음,관광호텔업,159403,91901,264710,9,36.353193540866,127.344698393461
라마다 바이 윈덤 인천,인천,인천 남동구 소래역로 36,200개 이상,성급없음,숙박업(생활),127925,66394,256235,9,37.4003132258351,126.735462609054
라마다 속초 호텔,강원,강원 속초시 대포항희망길 106,0,성급없음,미분류,188767,100760,688419,9,38.1742382255779,128.610146222213
라마다 앙코르 해운대,부산,부산 해운대구 구남로 9,200개 이상,성급없음,일반호텔,200891,83700,480000,9,35.1633069847366,129.159614124407
라마다 프라자 수원,경기,경기 수원시 팔달구 중부대로 150,200개 이상,4성,관광호텔업,232066,137500,550000,9,37.2777286204704,127.032441324225
라마다 프라자 여수,전남,전남 여수시 돌산읍 강남로 11,200개 이상,성급없음,숙박업(생활),180703,79607,789176,8,34.7170095090315,127.748280400809
라마다제주시티,제주,제주특별자치도 제주시 중앙로 304,200개 이상,성급없음,일반호텔,157972,74240,305370,9,33.4935050841641,126.534296856443
라마다제주함덕,제주,제주특별자치도 제주시 조천읍 신북로 470,200개 이상,성급없음,일반호텔,168321,78976,500000,9,33.5431499755046,126.659873203915
라마다프라자제주호텔,제주,제주특별자치도 제주시 탑동로 66,200개 이상,성급없음,관광호텔,247181,144500,510001,9,33.5188061398631,126.518138492511
라발스 호텔 부산,부산,부산 영도구 봉래나루로 82,200개 이상,성급없음,일반호텔,217426,75489,511112,9,35.0944992426888,129.039129890579
라한호텔 전주,전북,전북 전주시 완산구 기린대로 85,200개 이하,4성,관광호텔업,277493,148000,560000,8,35.8170560042712,127.154045565975
라한호텔 포항,경북,경북 포항시 북구 삼호로265번길 1,200개 이하,3성,관광호텔업,226345,115200,480000,7,36.0615424891588,129.379658659472
롤링힐스 호텔,경기,경기 화성시 남양읍 시청로 290,200개 이상,4성,관광호텔업,276839,165959,465850,9,37.1901174561491,126.83874811582
롯데 호텔 부산,부산,부산 부산진구 가야대로 772,200개 이상,5성,관광호텔업,357761,90730,968000,9,35.156789983664,129.056416218143
롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,37.5653458904198,126.9810075639
롯데리조트 부여,충남,충남 부여군 규암면 백제문로 400,200개 이상,성급없음,휴양콘도미니엄업,294477,174310,447000,9,36.3039433518284,126.900428820084
