,식당이름,카테고리,별점,리뷰 수,웹사이트,주소,지역명,위도,경도
3806,한옥달,restaurant,4.1,50,https://place.map.kakao.com/701497750,서울 종로구 자하문로1가길 9 1층(지번) 체부동 68,서울,37.5769262064682,126.971980531429
3807,한우공방,restaurant,4.1,204,https://place.map.kakao.com/886708185,서울 종로구 종로9길 8 1층(지번) 인사동 263,서울,37.5708880469486,126.984365156057
3808,막내회집 본점,restaurant,3.8,249,https://place.map.kakao.com/10335617,서울 중구 남대문시장2가길 2 2층(지번) 남창동 50-48,서울,37.5593751208255,126.976726374919
3809,동어동락 삼성본점,restaurant,4.8,1529,https://place.map.kakao.com/1751054299,서울 강남구 삼성로96길 7 1층(지번) 삼성동 156-7,서울,37.5088120289761,127.056407587759
3810,한일산장,restaurant,3.8,55,https://place.map.kakao.com/22195292,서울 강북구 삼양로181길 239 1층(지번) 우이동 산 79,서울,37.6731224853266,127.005145380017
3811,훔볼트,cafe,3.6,121,https://place.map.kakao.com/1431819126,"서울 성동구 성수이로 58 P타워 지하 1층, 1, 2층(지번) 성수동2가 325-19",서울,37.5400995344191,127.055602663956
3812,이남장 본점,restaurant,4.0,161,https://place.map.kakao.com/10668060,서울 중구 삼일대로12길 16 1층(지번) 을지로2가 101-32,서울,37.5666459290583,126.988655162711
3813,테라로사 광화문점,cafe,4.0,202,https://place.map.kakao.com/24725284,서울 종로구 종로1길 50 더케이트윈타워 B동 1층(지번) 중학동 19,서울,37.5747244659804,126.979022440109
3814,바르미스시샤브 현대백화점 디큐브시티점,restaurant,3.7,304,https://place.map.kakao.com/25037136,서울 구로구 경인로 662 별관 3층(지번) 신도림동 692,서울,37.5081230677129,126.888212953215
3815,오레노라멘 인사점,restaurant,4.2,955,https://place.map.kakao.com/1179567185,서울 종로구 율곡로 49-4 1층 101호(지번) 안국동 159-2,서울,37.5765150575925,126.984574541361
