Name,Category,Score,Review_Num,Link,Addr,ADDR_area
카페브리드,cafe,4.0,85,https://place.map.kakao.com/27315060,충남 아산시 신정로 486(지번) 기산동 16,충청
산내들,restaurant,3.9,181,https://place.map.kakao.com/9811591,충남 천안시 서북구 서부1길 77 1층(지번) 성정동 618-3,충청
맛찬들왕소금구이 천안두정점,restaurant,3.9,177,https://place.map.kakao.com/891137636,충남 천안시 서북구 원두정6길 6 1층(지번) 두정동 808,충청
베이커리밤마을,cafe,3.6,1087,https://place.map.kakao.com/904041132,충남 공주시 백미고을길 5-9(지번) 금성동 184-4,충청
호수매운탕 어죽대부,restaurant,4.1,191,https://place.map.kakao.com/15283675,충남 천안시 서북구 성성2길 61 2층(지번) 성성동 90-5,충청
제주유기농쌈밥촌 유구점,restaurant,4.7,17,https://place.map.kakao.com/9403448,충남 공주시 유구읍 중앙2길 23 1층(지번) 유구읍 백교리 27-1,충청
유장춘닭개장 백석점,restaurant,4.3,127,https://place.map.kakao.com/19857167,충남 천안시 서북구 백석3로 39 1층(지번) 백석동 270,충청
신야춘추,restaurant,4.9,25,https://place.map.kakao.com/23407019,충남 공주시 반포면 하신소1길 62-9(지번) 반포면 하신리 274-2,충청
꽁당보리밥 배방점,restaurant,4.4,596,https://place.map.kakao.com/21350389,충남 아산시 배방읍 갈매길 159-39 1동 2층(지번) 배방읍 북수리 278-31,충청
청화집순대,restaurant,4.2,546,https://place.map.kakao.com/11233700,충남 천안시 동남구 병천면 충절로 1749 1층(지번) 병천면 병천리 167-6,충청
알토,restaurant,3.9,164,https://place.map.kakao.com/27448647,충남 천안시 동남구 청수10길 4-120 1층(지번) 삼룡동 504,충청
란베트남쌀국수,restaurant,4.8,269,https://place.map.kakao.com/704636337,충남 천안시 동남구 충절로 244 1층(지번) 구성동 480-9,충청
나문재카페,cafe,4.2,199,https://place.map.kakao.com/590725586,충남 태안군 안면읍 통샘길 87-340(지번) 안면읍 창기리 209-509,충청
육하원칙 직산점,restaurant,3.5,55,https://place.map.kakao.com/1692577079,충남 천안시 서북구 직산읍 부송로 333 1층(지번) 직산읍 자은가리 29-6,충청
징기스 천안두정점,restaurant,4.4,41,https://place.map.kakao.com/713940045,충남 천안시 서북구 원두정10길 10 1층(지번) 두정동 915,충청
유장춘닭개장 서산점,restaurant,4.4,29,https://place.map.kakao.com/25677871,충남 서산시 무학로 1878 1층(지번) 예천동 739,충청
꽃게랑아구랑,restaurant,3.7,98,https://place.map.kakao.com/27345126,충남 예산군 덕산면 덕산온천로 321(지번) 덕산면 신평리 232-7,충청
뚱보아저씨수제돈가스 아산점,restaurant,4.0,107,https://place.map.kakao.com/1034153520,충남 아산시 번영로234번길 30 하이빌 상가1층(지번) 모종동 585-1,충청
팔팔닭떡볶이 천안불당점,restaurant,4.2,62,https://place.map.kakao.com/737487675,충남 천안시 서북구 불당30길 36 1층(지번) 불당동 1765,충청
